1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
27327:-352.00;-4.00;-183.00;0.79;1.06;0.07:75.00;-216.00;-84.00;0.21;-0.25;1.06:44.00;30.00;97.00;0.19;-0.38;0.80:15.00;200.00;162.00;0.30;-0.37;0.85:131.00;177.00;87.00;0.22;-0.54;0.72:-148.00;53.00;-27.00;-0.02;0.12;0.28:
27377:140.00;-159.00;-114.00;0.79;1.07;0.07:330.00;504.00;425.00;0.21;-0.25;1.05:394.00;574.00;454.00;0.19;-0.37;0.80:410.00;522.00;249.00;0.29;-0.36;0.85:402.00;311.00;52.00;0.21;-0.54;0.72:-413.00;-36.00;-27.00;-0.03;0.12;0.29:
27427:107.00;-88.00;-282.00;0.77;1.06;0.06:344.00;195.00;23.00;0.20;-0.25;1.03:218.00;252.00;200.00;0.18;-0.38;0.80:56.00;186.00;95.00;0.29;-0.37;0.84:49.00;0.00;-52.00;0.20;-0.55;0.72:-68.00;51.00;-157.00;-0.04;0.13;0.29:
27477:-393.00;230.00;-117.00;0.75;1.04;0.06:-239.00;-44.00;-412.00;0.21;-0.27;1.01:-415.00;102.00;-115.00;0.19;-0.40;0.79:-509.00;252.00;20.00;0.30;-0.39;0.84:-464.00;201.00;-7.00;0.21;-0.55;0.71:338.00;-25.00;-67.00;-0.04;0.13;0.29:
27527:-362.00;229.00;-11.00;0.75;1.04;0.06:-335.00;-14.00;-447.00;0.21;-0.27;0.99:-439.00;147.00;-69.00;0.18;-0.40;0.78:-370.00;63.00;-26.00;0.30;-0.39;0.83:-120.00;-63.00;-145.00;0.20;-0.55;0.70:1.00;175.00;-240.00;-0.04;0.12;0.30:
27577:-451.00;-140.00;-280.00;0.74;1.05;0.04:218.00;-421.00;-78.00;0.21;-0.27;0.99:239.00;-177.00;102.00;0.18;-0.39;0.78:178.00;-57.00;145.00;0.29;-0.38;0.83:211.00;-161.00;-33.00;0.20;-0.54;0.70:-231.00;222.00;-167.00;-0.04;0.12;0.30:
27627:-5.00;-106.00;-96.00;0.74;1.05;0.04:34.00;62.00;138.00;0.20;-0.27;0.98:-23.00;164.00;258.00;0.18;-0.40;0.77:-22.00;161.00;178.00;0.29;-0.38;0.82:94.00;21.00;18.00;0.20;-0.55;0.69:-210.00;53.00;-93.00;-0.05;0.12;0.30:
27677:-89.00;37.00;-179.00;0.73;1.04;0.04:133.00;57.00;-65.00;0.21;-0.27;0.98:65.00;169.00;31.00;0.18;-0.40;0.77:-12.00;107.00;-61.00;0.30;-0.40;0.82:7.00;-4.00;-128.00;0.20;-0.56;0.69:-38.00;36.00;-166.00;-0.05;0.13;0.31:
27727:-336.00;131.00;-133.00;0.73;1.03;0.05:-224.00;-46.00;-196.00;0.22;-0.28;0.97:-379.00;133.00;78.00;0.19;-0.41;0.77:-376.00;142.00;120.00;0.32;-0.41;0.81:-228.00;-58.00;-27.00;0.21;-0.57;0.69:99.00;193.00;-185.00;-0.05;0.14;0.31:
27777:-520.00;69.00;-39.00;0.73;1.02;0.05:-141.00;-225.00;-82.00;0.22;-0.29;0.97:-102.00;-216.00;-105.00;0.20;-0.42;0.76:-38.00;-58.00;-23.00;0.33;-0.41;0.81:-17.00;-44.00;-79.00;0.22;-0.57;0.69:88.00;214.00;-267.00;-0.04;0.14;0.30:
27827:-434.00;-36.00;-65.00;0.75;1.03;0.06:-3.00;407.00;380.00;0.22;-0.28;0.96:-110.00;375.00;330.00;0.20;-0.41;0.76:-28.00;505.00;274.00;0.33;-0.41;0.81:-78.00;263.00;126.00;0.22;-0.56;0.69:-112.00;-9.00;-11.00;-0.04;0.14;0.29:
27877:-1.00;-50.00;-218.00;0.76;1.04;0.06:201.00;-100.00;-316.00;0.23;-0.29;0.94:177.00;158.00;60.00;0.20;-0.42;0.75:295.00;60.00;-94.00;0.33;-0.41;0.80:330.00;-113.00;-202.00;0.22;-0.56;0.69:-333.00;147.00;-179.00;-0.04;0.14;0.29:
27927:-99.00;-199.00;-265.00;0.76;1.03;0.06:385.00;-259.00;-186.00;0.23;-0.30;0.92:192.00;222.00;267.00;0.20;-0.43;0.75:119.00;421.00;227.00;0.33;-0.42;0.80:-54.00;201.00;86.00;0.23;-0.57;0.70:99.00;6.00;-78.00;-0.04;0.14;0.29:
27977:-202.00;129.00;-31.00;0.75;1.03;0.07:-346.00;35.00;-397.00;0.23;-0.31;0.91:-495.00;171.00;-91.00;0.20;-0.43;0.74:-445.00;169.00;-23.00;0.33;-0.42;0.79:-358.00;11.00;-36.00;0.23;-0.56;0.70:133.00;118.00;-183.00;-0.04;0.14;0.29:
28027:-337.00;0.00;-83.00;0.75;1.04;0.06:-19.00;-106.00;-118.00;0.23;-0.30;0.91:12.00;78.00;95.00;0.20;-0.42;0.74:213.00;267.00;145.00;0.33;-0.41;0.79:261.00;187.00;55.00;0.23;-0.55;0.70:-253.00;142.00;-193.00;-0.04;0.14;0.29:
28077:-264.00;-117.00;-341.00;0.75;1.05;0.05:486.00;-297.00;-2.00;0.22;-0.29;0.90:451.00;-148.00;42.00;0.19;-0.42;0.74:351.00;-156.00;-81.00;0.32;-0.40;0.79:329.00;-269.00;-210.00;0.23;-0.55;0.71:-119.00;212.00;-221.00;-0.05;0.14;0.28:
28127:-318.00;-38.00;-159.00;0.75;1.05;0.07:-246.00;186.00;-22.00;0.22;-0.30;0.91:-485.00;451.00;190.00;0.19;-0.42;0.74:-543.00;634.00;267.00;0.31;-0.39;0.79:-561.00;500.00;244.00;0.22;-0.55;0.71:238.00;-121.00;-10.00;-0.05;0.14;0.28:
28177:-169.00;322.00;172.00;0.75;1.06;0.07:-316.00;-14.00;-364.00;0.21;-0.29;0.90:-312.00;-23.00;-192.00;0.18;-0.41;0.73:-159.00;-137.00;-193.00;0.30;-0.38;0.79:90.00;-245.00;-276.00;0.23;-0.54;0.71:-125.00;240.00;-278.00;-0.05;0.13;0.28:
28227:-474.00;-252.00;-315.00;0.74;1.07;0.06:341.00;-223.00;150.00;0.21;-0.28;0.90:249.00;91.00;280.00;0.17;-0.40;0.73:103.00;212.00;238.00;0.28;-0.37;0.79:116.00;46.00;57.00;0.23;-0.53;0.73:-155.00;114.00;-104.00;-0.05;0.13;0.28:
28277:-98.00;-45.00;-72.00;0.74;1.07;0.06:139.00;-65.00;9.00;0.20;-0.27;0.91:106.00;27.00;69.00;0.16;-0.39;0.73:8.00;-171.00;-112.00;0.27;-0.36;0.80:167.00;-433.00;-310.00;0.25;-0.52;0.77:-145.00;140.00;-251.00;-0.06;0.12;0.28:
28337:-351.00;-62.00;-194.00;0.73;1.08;0.06:130.00;-171.00;-39.00;0.19;-0.26;0.91:90.00;15.00;111.00;0.15;-0.39;0.74:-30.00;-125.00;9.00;0.26;-0.35;0.82:579.00;-597.00;-276.00;0.30;-0.53;0.87:-189.00;189.00;-219.00;-0.07;0.12;0.27:
28387:-375.00;28.00;-109.00;0.73;1.08;0.08:-8.00;-18.00;105.00;0.18;-0.26;0.92:-57.00;117.00;230.00;0.15;-0.39;0.75:-346.00;320.00;406.00;0.26;-0.36;0.84:-356.00;1143.00;1269.00;0.36;-0.56;0.97:217.00;-13.00;58.00;-0.07;0.14;0.27:
28437:32.00;-25.00;26.00;0.74;1.09;0.08:-309.00;242.00;-59.00;0.17;-0.26;0.92:-423.00;266.00;121.00;0.14;-0.39;0.75:-500.00;229.00;233.00;0.24;-0.35;0.84:-364.00;383.00;397.00;0.35;-0.56;0.97:143.00;57.00;-173.00;-0.08;0.12;0.27:
28488:-391.00;76.00;-211.00;0.73;1.10;0.08:-133.00;-1.00;-176.00;0.16;-0.25;0.92:-269.00;327.00;156.00;0.13;-0.37;0.75:-464.00;504.00;338.00;0.22;-0.32;0.83:-238.00;1167.00;505.00;0.30;-0.52;0.92:-113.00;9.00;-98.00;-0.07;0.11;0.27:
28538:-136.00;176.00;25.00;0.73;1.11;0.08:-36.00;-169.00;-84.00;0.16;-0.24;0.91:20.00;-267.00;-114.00;0.12;-0.36;0.73:-159.00;-547.00;-306.00;0.21;-0.31;0.81:68.00;-670.00;-1003.00;0.24;-0.50;0.84:-184.00;260.00;-282.00;-0.06;0.10;0.27:
28587:-290.00;-141.00;-210.00;0.74;1.11;0.08:149.00;-29.00;51.00;0.16;-0.24;0.91:60.00;175.00;161.00;0.12;-0.36;0.73:-244.00;133.00;105.00;0.20;-0.31;0.81:-54.00;-51.00;-389.00;0.22;-0.49;0.82:-94.00;60.00;-102.00;-0.06;0.10;0.26:
28637:-205.00;-28.00;-167.00;0.75;1.11;0.09:103.00;-133.00;-138.00;0.16;-0.24;0.91:80.00;-66.00;-68.00;0.12;-0.36;0.73:-131.00;-232.00;-160.00;0.21;-0.31;0.81:117.00;-289.00;-463.00;0.22;-0.49;0.81:-71.00;170.00;-253.00;-0.06;0.11;0.26:
28688:-437.00;-122.00;-249.00;0.75;1.11;0.11:184.00;-361.00;-113.00;0.16;-0.24;0.92:113.00;-141.00;9.00;0.12;-0.36;0.74:-207.00;-141.00;41.00;0.20;-0.31;0.82:2.00;-52.00;-25.00;0.21;-0.49;0.81:-76.00;152.00;-160.00;-0.06;0.10;0.25:
28738:-249.00;82.00;16.00;0.76;1.11;0.13:-184.00;-115.00;91.00;0.16;-0.24;0.93:-290.00;14.00;279.00;0.12;-0.36;0.74:-444.00;143.00;437.00;0.20;-0.30;0.82:-6.00;383.00;288.00;0.20;-0.48;0.80:101.00;224.00;-184.00;-0.06;0.10;0.24:
28788:-250.00;-103.00;-79.00;0.79;1.11;0.16:-6.00;-176.00;144.00;0.15;-0.23;0.91:-78.00;342.00;471.00;0.10;-0.34;0.72:-214.00;355.00;413.00;0.16;-0.27;0.79:176.00;339.00;49.00;0.15;-0.45;0.76:-15.00;519.00;-480.00;-0.05;0.08;0.21:
28838:-260.00;-87.00;52.00;0.82;1.10;0.19:525.00;-1142.00;-898.00;0.12;-0.20;0.84:534.00;-807.00;-560.00;0.07;-0.30;0.68:115.00;-1018.00;-620.00;0.11;-0.23;0.77:544.00;-546.00;-573.00;0.10;-0.43;0.73:-266.00;660.00;-571.00;-0.05;0.07;0.17:
28888:79.00;-111.00;-148.00;0.82;1.08;0.25:-520.00;-794.00;-1963.00;0.10;-0.17;0.86:-339.00;261.00;-207.00;0.04;-0.28;0.67:-996.00;920.00;435.00;0.05;-0.19;0.75:-519.00;1097.00;423.00;0.05;-0.41;0.70:133.00;-726.00;943.00;-0.05;0.06;0.14:
28938:766.00;254.00;-178.00;0.82;1.06;0.23:-243.00;1532.00;278.00;0.09;-0.14;0.89:-602.00;1632.00;590.00;0.03;-0.27;0.67:-1073.00;674.00;-240.00;0.04;-0.19;0.74:-698.00;446.00;-349.00;0.03;-0.42;0.68:119.00;-746.00;368.00;-0.05;0.06;0.15:
28988:-92.00;385.00;-142.00;0.81;1.06;0.18:324.00;3901.00;3084.00;0.08;-0.15;0.84:-241.00;1795.00;1213.00;0.04;-0.28;0.65:-537.00;1012.00;530.00;0.07;-0.22;0.73:-233.00;488.00;115.00;0.06;-0.43;0.67:-179.00;-329.00;177.00;-0.04;0.07;0.18:
29038:-83.00;125.00;-393.00;0.79;1.07;0.09:37.00;462.00;-697.00;0.10;-0.20;0.78:286.00;-97.00;-362.00;0.04;-0.32;0.63:-15.00;-547.00;-363.00;0.11;-0.26;0.73:304.00;-437.00;-354.00;0.09;-0.45;0.68:-168.00;285.00;-364.00;-0.04;0.08;0.22:
29088:-428.00;21.00;-142.00;0.77;1.07;0.03:330.00;-1189.00;-1265.00;0.11;-0.22;0.74:204.00;-624.00;-280.00;0.06;-0.35;0.63:-45.00;-475.00;28.00;0.15;-0.29;0.73:323.00;-190.00;69.00;0.12;-0.46;0.69:-78.00;435.00;-446.00;-0.04;0.08;0.24:
29138:-691.00;-57.00;-207.00;0.75;1.06;0.00:420.00;-1663.00;-1274.00;0.12;-0.23;0.74:373.00;-1099.00;-745.00;0.07;-0.36;0.64:10.00;-1024.00;-556.00;0.16;-0.30;0.75:243.00;-465.00;-216.00;0.13;-0.47;0.71:-168.00;248.00;-277.00;-0.04;0.09;0.25:
29188:-426.00;-139.00;-356.00;0.75;1.06;0.00:99.00;122.00;313.00;0.12;-0.23;0.77:-67.00;490.00;773.00;0.09;-0.37;0.70:-279.00;651.00;718.00;0.18;-0.31;0.79:-143.00;482.00;408.00;0.15;-0.47;0.72:-7.00;-127.00;75.00;-0.04;0.09;0.26:
29238:198.00;294.00;248.00;0.75;1.07;-0.01:-34.00;183.00;21.00;0.13;-0.24;0.78:-94.00;229.00;310.00;0.10;-0.37;0.72:-220.00;-44.00;67.00;0.20;-0.32;0.80:29.00;-237.00;-189.00;0.16;-0.48;0.73:-37.00;182.00;-293.00;-0.04;0.09;0.27:
29288:-628.00;57.00;-206.00;0.74;1.06;-0.02:-123.00;-497.00;-251.00;0.13;-0.24;0.79:-191.00;-237.00;135.00;0.11;-0.39;0.73:-281.00;25.00;353.00;0.22;-0.34;0.81:-150.00;49.00;178.00;0.17;-0.49;0.74:57.00;138.00;-111.00;-0.04;0.09;0.27:
29338:-184.00;-23.00;-35.00;0.75;1.07;-0.03:-58.00;59.00;112.00;0.14;-0.24;0.79:-52.00;152.00;194.00;0.11;-0.38;0.73:63.00;19.00;0.00;0.22;-0.34;0.81:157.00;-297.00;-376.00;0.20;-0.49;0.76:-522.00;30585.00;22426.00;-0.09;0.59;-0.85:
29378:-547.00;-18.00;-251.00;0.75;1.06;-0.03:391.00;-764.00;-207.00;0.14;-0.24;0.78:502.00;-689.00;-128.00;0.11;-0.39;0.73:558.00;-1209.00;-659.00;0.23;-0.35;0.82:962.00;-2543.00;-2198.00;0.25;-0.50;0.84:-450.00;568.00;-502.00;-0.04;0.10;0.27:
29418:-769.00;-435.00;-567.00;0.76;1.06;0.01:530.00;-887.00;-294.00;0.13;-0.24;0.79:569.00;-448.00;0.00;0.11;-0.39;0.74:-95.00;829.00;817.00;0.25;-0.37;0.87:-357.00;550.00;563.00;0.30;-0.53;0.92:145.00;-23.00;288.00;-0.05;0.12;0.25:
29468:569.00;138.00;372.00;0.78;1.07;0.06:-828.00;1951.00;996.00;0.14;-0.25;0.81:-1128.00;1753.00;906.00;0.11;-0.39;0.74:-961.00;1657.00;875.00;0.25;-0.37;0.86:-487.00;680.00;254.00;0.30;-0.53;0.92:285.00;-314.00;35.00;-0.04;0.12;0.26:
29508:-468.00;270.00;-204.00;0.76;1.06;0.03:-113.00;187.00;-358.00;0.14;-0.25;0.79:-317.00;429.00;-94.00;0.11;-0.39;0.71:-404.00;538.00;36.00;0.23;-0.36;0.82:-238.00;672.00;43.00;0.26;-0.51;0.86:48.00;-124.00;-88.00;-0.04;0.10;0.27:
29548:-13.00;201.00;49.00;0.77;1.07;0.00:-103.00;65.00;-104.00;0.14;-0.25;0.78:-93.00;-9.00;-112.00;0.11;-0.38;0.69:-52.00;-355.00;-457.00;0.23;-0.35;0.80:192.00;-648.00;-925.00;0.24;-0.51;0.82:-184.00;283.00;-307.00;-0.03;0.10;0.28:
29588:-646.00;-198.00;-388.00;0.76;1.06;-0.01:382.00;-816.00;-267.00;0.15;-0.25;0.77:484.00;-669.00;-252.00;0.11;-0.38;0.69:414.00;-616.00;-353.00;0.24;-0.35;0.79:424.00;-475.00;-492.00;0.24;-0.51;0.82:-222.00;393.00;-371.00;-0.03;0.10;0.28:
29628:-461.00;-294.00;-393.00;0.76;1.06;-0.00:391.00;-446.00;-45.00;0.14;-0.25;0.78:298.00;-140.00;123.00;0.11;-0.38;0.70:49.00;66.00;99.00;0.24;-0.35;0.81:71.00;-30.00;-87.00;0.24;-0.51;0.82:-160.00;58.00;-90.00;-0.03;0.11;0.28:
29668:77.00;157.00;69.00;0.76;1.06;0.01:-117.00;279.00;38.00;0.14;-0.25;0.79:-239.00;395.00;221.00;0.11;-0.39;0.71:-227.00;347.00;95.00;0.24;-0.36;0.81:-94.00;199.00;-21.00;0.24;-0.51;0.82:2.00;-11.00;-56.00;-0.04;0.11;0.28:
29708:-259.00;36.00;-183.00;0.76;1.06;0.01:29.00;-98.00;-117.00;0.15;-0.25;0.79:1.00;-30.00;25.00;0.12;-0.39;0.72:22.00;-103.00;-16.00;0.24;-0.36;0.82:220.00;-77.00;-93.00;0.25;-0.51;0.83:-61.00;174.00;-293.00;-0.04;0.11;0.28:
29748:-558.00;-71.00;-253.00;0.76;1.06;0.02:106.00;-377.00;-117.00;0.14;-0.25;0.80:94.00;-271.00;-1.00;0.12;-0.39;0.73:-82.00;-229.00;21.00;0.25;-0.36;0.83:25.00;-138.00;26.00;0.25;-0.51;0.84:-122.00;197.00;-161.00;-0.04;0.11;0.28:
29788:-178.00;-48.00;-45.00;0.76;1.06;0.03:-79.00;81.00;114.00;0.15;-0.26;0.81:-201.00;305.00;394.00;0.12;-0.40;0.74:-232.00;373.00;393.00;0.25;-0.37;0.84:-105.00;172.00;146.00;0.25;-0.51;0.84:0.00;86.00;-89.00;-0.04;0.12;0.27:
29828:-267.00;38.00;-84.00;0.76;1.06;0.04:-63.00;-127.00;-118.00;0.15;-0.26;0.81:-87.00;-28.00;-22.00;0.12;-0.40;0.74:-98.00;-113.00;-103.00;0.25;-0.36;0.85:53.00;-55.00;-130.00;0.25;-0.51;0.84:-57.00;128.00;-205.00;-0.04;0.12;0.27:
29878:-281.00;-30.00;-207.00;0.76;1.06;0.05:18.00;-204.00;-149.00;0.15;-0.25;0.83:-66.00;40.00;87.00;0.13;-0.39;0.76:-139.00;231.00;295.00;0.25;-0.36;0.87:-4.00;134.00;141.00;0.25;-0.51;0.85:-65.00;85.00;-129.00;-0.04;0.12;0.27:
29928:-202.00;20.00;-15.00;0.77;1.06;0.06:-78.00;298.00;323.00;0.15;-0.25;0.84:-150.00;368.00;386.00;0.13;-0.39;0.77:-191.00;314.00;239.00;0.26;-0.36;0.87:-81.00;24.00;-114.00;0.25;-0.51;0.84:0.00;58.00;-75.00;-0.04;0.12;0.26:
29979:-163.00;-1.00;-106.00;0.77;1.07;0.06:106.00;84.00;-15.00;0.15;-0.25;0.83:111.00;213.00;89.00;0.13;-0.39;0.77:152.00;-51.00;-211.00;0.26;-0.37;0.87:810.00;-827.00;-714.00;0.29;-0.54;0.91:-295.00;99.00;-82.00;-0.04;0.12;0.26:
30028:-129.00;44.00;-53.00;0.77;1.07;0.06:39.00;-60.00;-122.00;0.14;-0.24;0.83:-215.00;393.00;394.00;0.13;-0.40;0.78:-320.00;872.00;762.00;0.28;-0.39;0.89:-233.00;451.00;488.00;0.33;-0.60;0.94:98.00;-119.00;67.00;-0.04;0.13;0.26:
30079:187.00;124.00;95.00;0.77;1.07;0.05:-250.00;932.00;220.00;0.13;-0.24;0.81:-611.00;1254.00;559.00;0.12;-0.39;0.75:-457.00;1343.00;596.00;0.26;-0.38;0.85:-399.00;941.00;451.00;0.32;-0.60;0.93:164.00;-328.00;-29.00;-0.04;0.11;0.28:
30128:-106.00;352.00;8.00;0.75;1.07;0.01:-167.00;142.00;-349.00;0.13;-0.24;0.77:-227.00;17.00;-323.00;0.10;-0.38;0.70:-96.00;-421.00;-584.00;0.24;-0.36;0.79:-23.00;-70.00;-74.00;0.30;-0.59;0.88:-184.00;348.00;-412.00;-0.03;0.10;0.30:
30178:-773.00;-206.00;-403.00;0.74;1.07;-0.02:431.00;-765.00;-235.00;0.13;-0.24;0.74:456.00;-552.00;-155.00;0.10;-0.38;0.68:226.00;-336.00;-161.00;0.24;-0.36;0.77:-43.00;-571.00;-579.00;0.27;-0.57;0.84:-161.00;306.00;-195.00;-0.03;0.10;0.30:
30229:-95.00;-68.00;-54.00;0.75;1.07;-0.01:75.00;-103.00;-246.00;0.13;-0.25;0.73:-25.00;80.00;-21.00;0.10;-0.39;0.67:-20.00;22.00;-100.00;0.24;-0.36;0.77:242.00;20.00;-192.00;0.26;-0.55;0.83:-71.00;172.00;-263.00;-0.03;0.10;0.30:
30279:-686.00;6.00;-237.00;0.75;1.07;-0.01:136.00;-1218.00;-667.00;0.13;-0.25;0.73:234.00;-1058.00;-475.00;0.10;-0.38;0.67:192.00;-751.00;-58.00;0.23;-0.35;0.77:496.00;-244.00;-91.00;0.24;-0.53;0.82:-111.00;641.00;-636.00;-0.03;0.10;0.28:
30329:-717.00;-334.00;-310.00;0.78;1.07;0.05:237.00;-1043.00;-440.00;0.13;-0.24;0.76:123.00;48.00;518.00;0.09;-0.36;0.69:-172.00;464.00;586.00;0.17;-0.31;0.77:-98.00;380.00;124.00;0.17;-0.50;0.77:-19.00;293.00;-161.00;-0.04;0.09;0.25:
30379:413.00;185.00;353.00;0.80;1.06;0.11:-457.00;405.00;209.00;0.12;-0.22;0.79:-447.00;139.00;-117.00;0.06;-0.34;0.68:-759.00;-228.00;-367.00;0.13;-0.28;0.75:-357.00;-257.00;-493.00;0.13;-0.48;0.75:82.00;220.00;-257.00;-0.03;0.09;0.22:
30429:-118.00;32.00;-136.00;0.80;1.03;0.13:-621.00;-1102.00;-1398.00;0.12;-0.18;0.80:-118.00;-406.00;-389.00;0.05;-0.32;0.67:-166.00;-89.00;-68.00;0.10;-0.24;0.75:251.00;-36.00;-351.00;0.09;-0.45;0.73:-2.00;468.00;-364.00;-0.03;0.07;0.18:
30479:-574.00;-498.00;-818.00;0.81;1.02;0.16:-236.00;1029.00;823.00;0.11;-0.14;0.89:72.00;573.00;159.00;0.03;-0.28;0.68:-960.00;914.00;379.00;0.05;-0.21;0.75:-896.00;659.00;297.00;0.06;-0.43;0.72:-14.00;-455.00;776.00;-0.03;0.07;0.15:
30529:863.00;364.00;346.00;0.82;1.02;0.19:152.00;1189.00;194.00;0.11;-0.13;0.89:-663.00;1226.00;355.00;0.03;-0.29;0.68:-765.00;431.00;-283.00;0.07;-0.23;0.74:-505.00;197.00;-423.00;0.07;-0.44;0.71:58.00;-569.00;339.00;-0.03;0.07;0.17:
30579:36.00;382.00;-87.00;0.81;1.02;0.14:834.00;2352.00;1586.00;0.11;-0.16;0.90:-45.00;1167.00;349.00;0.05;-0.31;0.68:-150.00;821.00;173.00;0.11;-0.26;0.75:16.00;520.00;42.00;0.10;-0.46;0.72:-264.00;-552.00;258.00;-0.03;0.07;0.20:
30629:183.00;280.00;-191.00;0.78;1.04;0.06:72.00;-525.00;-485.00;0.13;-0.21;0.87:450.00;-455.00;-9.00;0.07;-0.34;0.69:346.00;-683.00;11.00;0.16;-0.30;0.76:575.00;-566.00;-199.00;0.13;-0.47;0.72:-166.00;583.00;-699.00;-0.03;0.08;0.23:
30679:-1079.00;-312.00;-414.00;0.76;1.03;0.03:30.00;-909.00;-310.00;0.13;-0.23;0.84:260.00;-751.00;5.00;0.08;-0.36;0.69:-32.00;-542.00;74.00;0.18;-0.32;0.77:72.00;-331.00;-3.00;0.15;-0.49;0.73:-71.00;332.00;-243.00;-0.03;0.08;0.24:
30729:-205.00;15.00;2.00;0.76;1.04;0.04:-26.00;-287.00;-621.00;0.14;-0.25;0.82:-97.00;231.00;311.00;0.10;-0.38;0.71:-95.00;172.00;264.00;0.20;-0.35;0.79:209.00;247.00;201.00;0.16;-0.50;0.74:-53.00;99.00;-254.00;-0.03;0.09;0.25:
30779:-467.00;109.00;-149.00;0.76;1.04;0.04:84.00;-281.00;-270.00;0.14;-0.26;0.81:71.00;-264.00;-142.00;0.11;-0.39;0.72:-14.00;41.00;125.00;0.22;-0.36;0.80:-12.00;101.00;1.00;0.16;-0.50;0.74:-23.00;-18.00;-71.00;-0.03;0.10;0.25:
30829:-82.00;-29.00;-51.00;0.76;1.04;0.03:4.00;820.00;410.00;0.14;-0.27;0.77:-117.00;617.00;512.00;0.11;-0.40;0.72:-62.00;270.00;255.00;0.24;-0.37;0.81:101.00;107.00;37.00;0.17;-0.50;0.74:-120.00;135.00;-197.00;-0.03;0.10;0.26:
30879:-497.00;-76.00;-262.00;0.76;1.04;0.02:259.00;-439.00;-471.00;0.14;-0.28;0.73:192.00;-329.00;-147.00;0.11;-0.41;0.71:91.00;-32.00;92.00;0.24;-0.38;0.81:88.00;14.00;-8.00;0.17;-0.51;0.74:-23.00;155.00;-148.00;-0.04;0.10;0.26:
30929:-252.00;7.00;-56.00;0.76;1.05;0.03:-145.00;-27.00;-205.00;0.13;-0.29;0.69:-160.00;-126.00;-3.00;0.10;-0.42;0.70:-81.00;-138.00;170.00;0.24;-0.38;0.81:94.00;-246.00;-20.00;0.16;-0.51;0.73:-67.00;355.00;-488.00;-0.04;0.10;0.25:
30979:-732.00;-54.00;-124.00;0.77;1.04;0.05:-357.00;-1310.00;-1118.00;0.12;-0.27;0.65:-208.00;-398.00;-64.00;0.08;-0.40;0.67:-123.00;-4.00;337.00;0.20;-0.35;0.78:397.00;173.00;243.00;0.12;-0.49;0.71:-13.00;697.00;-617.00;-0.03;0.10;0.23:
31029:-743.00;-217.00;-122.00;0.79;1.03;0.10:586.00;-2982.00;-3284.00;0.10;-0.21;0.66:487.00;-1113.00;-896.00;0.04;-0.34;0.63:214.00;-589.00;-552.00;0.12;-0.28;0.74:281.00;-109.00;-541.00;0.04;-0.46;0.67:-149.00;564.00;-255.00;-0.03;0.08;0.18:
31079:253.00;-388.00;-350.00;0.82;1.03;0.17:427.00;804.00;-275.00;0.09;-0.18;0.86:-109.00;1085.00;549.00;0.01;-0.29;0.64:-739.00;1005.00;142.00;0.04;-0.23;0.73:-777.00;520.00;-70.00;-0.02;-0.44;0.64:-216.00;-876.00;945.00;-0.04;0.07;0.16:
31129:981.00;427.00;239.00;0.82;1.02;0.18:-244.00;1649.00;554.00;0.10;-0.19;0.90:-594.00;1254.00;387.00;0.01;-0.29;0.64:-938.00;577.00;-172.00;0.06;-0.25;0.72:-663.00;167.00;-365.00;-0.01;-0.46;0.63:34.00;-576.00;291.00;-0.04;0.08;0.17:
31179:22.00;402.00;-28.00;0.80;1.02;0.15:-615.00;1620.00;846.00;0.10;-0.22;0.88:-375.00;798.00;371.00;0.02;-0.31;0.63:-553.00;482.00;232.00;0.10;-0.28;0.72:-210.00;291.00;165.00;0.03;-0.48;0.64:29.00;-192.00;69.00;-0.04;0.09;0.20:
31229:-120.00;175.00;-83.00;0.78;1.02;0.08:48.00;-269.00;-810.00;0.11;-0.23;0.83:91.00;16.00;53.00;0.04;-0.34;0.63:137.00;-192.00;-43.00;0.15;-0.32;0.72:337.00;-133.00;-150.00;0.06;-0.50;0.64:-75.00;284.00;-387.00;-0.04;0.09;0.22:
31279:-729.00;-31.00;-360.00;0.76;1.02;0.03:444.00;-1311.00;-930.00;0.12;-0.23;0.82:317.00;-658.00;-210.00;0.05;-0.35;0.63:203.00;-478.00;-29.00;0.16;-0.33;0.73:379.00;-292.00;-185.00;0.07;-0.50;0.64:-126.00;328.00;-392.00;-0.03;0.09;0.23:
31329:-512.00;-150.00;-286.00;0.75;1.02;0.02:203.00;-164.00;99.00;0.12;-0.24;0.83:116.00;109.00;394.00;0.06;-0.36;0.64:-6.00;32.00;170.00;0.17;-0.34;0.74:152.00;0.00;21.00;0.07;-0.50;0.65:-96.00;131.00;-157.00;-0.04;0.09;0.24:
31379:-544.00;-58.00;-325.00;0.75;1.03;0.02:86.00;-182.00;-21.00;0.12;-0.24;0.82:114.00;-153.00;0.00;0.06;-0.36;0.64:95.00;-252.00;-71.00;0.18;-0.35;0.75:190.00;-127.00;-115.00;0.07;-0.50;0.65:-71.00;205.00;-279.00;-0.04;0.09;0.24:
