1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
18801:-113.00;-108.00;-162.00;0.64;1.03;-0.10:93.00;143.00;-10.00;0.07;-0.20;0.66:-34.00;628.00;333.00;0.21;-0.41;1.03:46.00;-19.00;216.00;0.30;-0.47;0.92:59.00;-306.00;5.00;0.00;-0.57;0.54:-152.00;367.00;-180.00;-0.08;0.09;0.30:
18841:-391.00;-88.00;-67.00;0.64;1.02;-0.09:-106.00;-437.00;-640.00;0.07;-0.21;0.61:-78.00;-370.00;-632.00;0.18;-0.42;0.94:62.00;-263.00;-128.00;0.31;-0.47;0.92:190.00;-127.00;-94.00;0.01;-0.57;0.56:36.00;328.00;-328.00;-0.08;0.10;0.30:
18872:-669.00;-140.00;-276.00;0.64;1.02;-0.09:105.00;-666.00;-919.00;0.07;-0.21;0.60:148.00;-852.00;-1352.00;0.17;-0.43;0.89:74.00;-388.00;-533.00;0.31;-0.47;0.94:164.00;-78.00;-216.00;0.02;-0.57;0.58:-76.00;177.00;-181.00;-0.09;0.11;0.30:
18911:-85.00;-28.00;-212.00;0.65;1.03;-0.07:149.00;-13.00;-258.00;0.06;-0.21;0.60:62.00;-7.00;-494.00;0.16;-0.43;0.89:25.00;-105.00;-171.00;0.32;-0.46;1.00:97.00;-109.00;-46.00;0.05;-0.57;0.63:-188.00;89.00;-117.00;-0.09;0.11;0.29:
18942:-218.00;15.00;-187.00;0.65;1.03;-0.07:132.00;-294.00;-396.00;0.06;-0.21;0.60:107.00;-301.00;-367.00;0.16;-0.43;0.89:-80.00;-749.00;-314.00;0.33;-0.45;1.05:378.00;32.00;284.00;0.07;-0.58;0.65:-210.00;174.00;-177.00;-0.09;0.12;0.29:
18982:-304.00;9.00;-63.00;0.65;1.03;-0.05:-226.00;187.00;227.00;0.06;-0.22;0.60:-469.00;728.00;546.00;0.16;-0.43;0.89:-279.00;1212.00;1090.00;0.33;-0.43;1.08:-771.00;361.00;700.00;0.07;-0.59;0.67:121.00;64.00;-50.00;-0.09;0.13;0.28:
19012:-6.00;90.00;88.00;0.66;1.03;-0.04:-333.00;649.00;502.00;0.06;-0.22;0.59:-493.00;804.00;429.00;0.15;-0.43;0.87:-377.00;1131.00;1027.00;0.32;-0.42;1.07:-644.00;111.00;84.00;0.07;-0.59;0.66:85.00;-105.00;-106.00;-0.09;0.13;0.28:
19051:-288.00;264.00;-3.00;0.66;1.02;-0.04:-184.00;270.00;-41.00;0.06;-0.22;0.56:-211.00;748.00;311.00;0.12;-0.42;0.80:-148.00;531.00;423.00;0.28;-0.40;0.99:-22.00;299.00;204.00;0.05;-0.57;0.62:-86.00;207.00;-354.00;-0.08;0.12;0.28:
19092:-543.00;111.00;-116.00;0.68;1.02;-0.03:12.00;-357.00;-435.00;0.07;-0.22;0.53:289.00;-540.00;-786.00;0.09;-0.42;0.71:143.00;-900.00;-1147.00;0.25;-0.39;0.88:238.00;-36.00;-564.00;-0.01;-0.55;0.54:-335.00;521.00;-367.00;-0.08;0.13;0.27:
19132:-358.00;-391.00;-392.00;0.70;1.01;-0.01:547.00;-834.00;-787.00;0.07;-0.22;0.51:680.00;-667.00;-1055.00;0.08;-0.42;0.65:698.00;-945.00;-2204.00;0.21;-0.38;0.83:311.00;146.00;-722.00;-0.07;-0.54;0.47:-366.00;476.00;-173.00;-0.08;0.15;0.25:
19172:29.00;-271.00;-335.00;0.71;1.01;0.02:588.00;-76.00;-174.00;0.07;-0.23;0.52:291.00;189.00;-334.00;0.08;-0.43;0.67:-119.00;1689.00;109.00;0.22;-0.40;0.86:-431.00;834.00;436.00;-0.09;-0.53;0.46:143.00;-399.00;626.00;-0.09;0.17;0.23:
